comment,predicted_label
Tôi rất thích dịch vụ này tuyệt vời!,positive
Không tệ nhưng cũng không quá tốt.,neutral
Dịch vụ quá tồi tệ tôi không hài lòng chút nào.,negative
Thật không ngờ sản phẩm tuyệt vời đến vậy!,positive
Chất lượng kém quá không đáng tiền.,positive
Không có gì đặc biệt chỉ là bình thường.,neutral
Rất tệ không bao giờ quay lại mua nữa.,neutral
g2 bắn như cc,negative
hay,positive
vl,negative
navi,negative
địt mẹ biết bắn không. Sao ngu thế,neutral
địt mẹ biết bắn không,neutral
???,negative
"là Michos lười nghĩ tên chứ easter egg cái jKo lẽ h kêu Bronya, Sushang, Seele ,....là easter egg",neutral
"Koleda Belobog
Chủ tịch công nghiệp nặng Belobog :))
Tôi có duyên vs Belobog hay s ấy.
Bronya là char 5* đầu tiên hsr
Koleda cx v 🗿",negative
"Belobog - vị thần của ánh sáng và ban ngày - trong tín ngưỡng Xla-vơ (Slav)
Phần nào ẩn dụ cho hy vọng, sự minh bạch, liêm khiết.
Thành ra cũng khiến michos lười nghĩ tên mới :))",negative
quá đã luôn !!!,positive
đợi lâu lắm r mới ra sự kiện,neutral
mình nhận dc Vandal Gaia's vengeance,negative
đã nhận được XENOHUNTER,neutral
nếu như đó là sự thật,neutral
"Còn 1 con pháp sư nữa, 3 đứa cùng vắt💀",neutral
Cơ sở?,negative
"Toàn free số ảo mà, biết đâu lại là anh nhật thì sao 🐧",neutral
Có khả năng mà phở ry tingyun 4S 😂😂,negative
Mơ tiếp là được,neutral
Chúc ông sinh nhật dui dẻ nhé - tuổi mới thêm niềm dui mới - cầu gì được nấy ông nhé - cầu tiền được tiền cầu tình được tình cầu tài được tài - Happy birthday- chúc mừng năm mới- chúc ông sống mãi trong niềm vui hạnh phúc- mãi yêu ông- lớp vờ du🕺🏻🔥💖🎂🍰,neutral
Rút kiếm từ zú 👀,negative
"Cảm giác người có tiềm năng thay faker làm biểu tượng của lol là thằng zeus, mẹ nó thắng hay thua, thọt hay xanh thì sức ảnh hưởng vs đóng góp cho team cũng nhiều vl. Zeus kiểu đa năng gần như faker, vừa carry gánh team đc mà vừa make play, hỗ trợ cho team đc",neutral
"10 năm thi đấu rồi mà khát vọng vô địch của Faker vẫn nv , nó vào máu r , đúng là mỗi bộ môn thể thao chỉ có 1 vị vua , k thể nào có người thứ 2 nối tiếp 1 cách dễ dàng được .",neutral
Ryze phải cảm ơn Chovy cho màn trình diễn hôm hay chứ ko lại bị neft thì đúng là cút hẳn khỏi lmht luôn 😆,neutral
"nay trừ mr. thước kẻ ra thì ai trong team GENG cũng thấy choke hết ak, Trang Bị Khởi Đầu húc dê xịt, đậu thì bị bắt lẻ vô duyên, sống lưng kim cương bỗng gẫy rời, Lele thì toàn mở vào con tanker team kia. Đúng là trong 1 ngày đẹp trời thì cái j cug có thể xảy ra mà :v",neutral
"Ryze đang ngồi tâm sự với Faker:' Mừng quá ông bạn già, ông đánh vậy là tôi sắp được làm lại rồiChovy đi ngang qua:' Anh Ryze ơi em không nghĩ vậy đâu",neutral
hạt cát mới nở ở lck mùa hè mà cứ tưởng đâu ngôi sao trên bầu trời :))) cả Riot vs LCK làm lố vl… nhìn kh biết buff luôn á =)))) cừi ẻ…. H tới trận ck của 2 mid xuất sắc nhất tg nhma vs 2 thế hệ khác nhau 🥹🫶🏻🥹🫶🏻,negative
Từ lúc Chovy mới lên đã cảm thấy ko thích rồi. Bạn này đánh team 5 mà lúc nào cũng chỉ có farm farm và farm. Chẳng bao h thấy hỗ trợ đồng đội cả.,neutral
sánh ngang G2,negative
"Như trong clip phân tích đã nói, hành trình của Deft như một bộ anime v, Deft là main nên sẽ có sức mạnh thay đổi càn khôn, cục diện trận chiến, hơn nữa, k chỉ như v, main còn được buff từ 'Bùa Lợi Ngược' của pháp sư nào đó, khiến cho sức mạnh của anh như Kaio-ken v, đc tăng thêm cấp số nhân, nếu nói Deft là Anh Hùng thì cũng k sai, ấy vậy mà thực tại thì lại khắc nghiệt, bởi vì nếu đúng như kịch bản anime, thì ngoại trù trường hợp Quỷ Vương chuyển sinh sang thời đại khác, hay chủ động giảng hoà, thì làm đ có chuyện Anh Hùng hạ đc Quỷ Vương, nên trong Final Battle, ae đều biết kết quả là gì r đấy :))",neutral
