comment,label
tuyệt vời,positive
đỉnh cao,positive
hết sẩy,positive
tuyệt hảo,positive
quá chất,positive
xuất sắc,positive
ngon lành,positive
tuyệt cú mèo,positive
mê ly,positive
tuyệt đỉnh,positive
đỉnh của chóp,positive
okela,positive
như mơ,positive
như ý,positive
tuyệt trần,positive
like mạnh,positive
đáng yêu,positive
yêu thích,positive
rất chi là ok,positive
tuyệt vời ông mặt trời,positive
max đỉnh,positive
siêu đẹp,positive
hết ý,positive
số một,positive
cực phẩm,positive
mãn nguyện,positive
hạnh phúc,positive
vui vẻ,positive
sướng rơn,positive
lung linh,positive
thần thánh,positive
đỉnh kout,positive
bao phê,positive
ngon lành cành đào,positive
mê đắm,positive
vừa lòng,positive
đỉnh nhất quả đất,positive
chất phát ngất,positive
tuyệt mỹ,positive
thăng hoa,positive
làm mưa làm gió,positive
hot hit,positive
miễn bàn,positive
không có gì để chê,positive
quá tuyệt,positive
siêu phẩm,positive
đỉnh của đỉnh,positive
thiên đường,positive
cảm ơn nhiều,positive
yêu lắm,positive
thật tuyệt,positive
vui vẻ,positive
vui,positive
yum yum,positive
yummi,positive
10đ,positive
hay,positive
Vui,positive
Hạnh phúc,positive
Tuyệt vời,positive
bình thường,neutral
ổn,neutral
không có ý kiến,neutral
trung lập,neutral
đúng,neutral
được,neutral
hợp lý,neutral
tương đối,neutral
chấp nhận được,neutral
vừa vừa,neutral
không tệ,neutral
không tốt,neutral
đủ,neutral
không sao,neutral
khá ổn,neutral
được rồi,neutral
tàm tạm,neutral
không đặc biệt,neutral
không khác biệt,neutral
như vậy,neutral
như cũ,neutral
vừa phải,neutral
không thay đổi,positive
ổn định,neutral
bình dị,neutral
nhẹ nhàng,neutral
không vấn đề,neutral
không có gì mới,neutral
không nổi bật,neutral
không có gì đặc sắc,neutral
không xấu,neutral
không hay,positive
vừa đủ,neutral
vừa ý,neutral
trung bình,neutral
đồng ý,neutral
cân bằng,neutral
không rõ ràng,neutral
mid,neutral
vibe,neutral
flex,neutral
glow up,neutral
bet,neutral
cap,neutral
high-key,neutral
low-key,neutral
sus,neutral
tea,neutral
drip,neutral
yeet,neutral
mood,neutral
stan,neutral
simp,neutral
zaddy,neutral
boujee,neutral
fam,neutral
ghost,neutral
bop,neutral
rizz,neutral
finna,neutral
cancel culture,neutral
basic,neutral
salty,neutral
big yikes,neutral
bougie,neutral
bussin,neutral
cap,neutral
high-key,neutral
low-key,neutral
sus,neutral
tea,neutral
drip,neutral
yeet,neutral
mood,neutral
stan,neutral
simp,neutral
zaddy,neutral
boujee,neutral
fam,neutral
ghost,neutral
bop,neutral
rizz,neutral
finna,neutral
cancel culture,neutral
basic,neutral
salty,neutral
big yikes,neutral
bougie,neutral
bussin,neutral
tao,neutral
mày,neutral
gacha,neutral
con cá,neutral
ghét,negative
tồi tệ,negative
kinh khủng,negative
buồn,negative
thất vọng,negative
không hài lòng,negative
phàn nàn,negative
tức giận,negative
bực bội,negative
chán nản,negative
khó chịu,negative
cục súc,negative
điên,negative
dở ẹc,negative
vô vị,negative
nhảm nhí,negative
nhạt,negative
